Dataset,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
Seasonality_False,2.0095056631402904e+16,956247402.6491854,917189018.4617373,5096461.318011941,2406193875398559.5,3221834224.1369233,956131873.8818139,953889238.9573214,957067618.1585758,1346475980093566.5,1.5094467246710176e+16,1876721835029880.2,2354780830405185.0,2209531853561480.5,2168083383613294.8,2447598656084981.0,2.2143473265620132e+16,1652033254547419.0,1137731840219878.8,1449153403005414.5,2226128364089553.0,2226128364089553.0,1.5113107757238252e+16,2196738689374830.2,2078248446853177.5,2222739109538957.8,2.0095056631479964e+16,2158763158450694.8,3008852141.1452103,62112.77830357115
Seasonality_True,7677.166405776875,1787.429435604665,1699.334081566637,2393.273476413662,2575.915680290428,6506.690776323782,1846.8365104766483,1724.1000243109308,1854.6920013752274,2071.453457627188,1566.4670596452083,3854.9440699739566,7931.467998149248,3378.4718689427245,3675.3950815475364,2554.8948386334487,13856.76841963901,1596.2034077696148,1666.2561786599479,1779.882666839804,3567.4180270978563,3567.4180270978563,4171.512831762563,3683.0323922952084,3436239665328.186,3813.7415193035185,12310.640240392493,1947.6187684904605,12314.650361426928,2433.769377753778
freq_Daily,6.704220039113248e+16,3191730274.975036,3061361387.090324,16823703.976048667,8027672423850957.0,10752866714.122223,3191353366.5721164,3183831717.020435,3194439536.5166726,4492185025196707.5,5.035896720918308e+16,6261219544893437.0,7856145477912978.0,7371558090810006.0,7233275493265768.0,7811485072434941.0,6.704220039138904e+16,5511601511609188.0,3795761684939701.0,4834742922637552.0,7426928255101570.0,7426928255101570.0,5.042115667493093e+16,7328876853686693.0,6904731980356118.0,7415620842989631.0,6.704220039138904e+16,7202180860692323.0,10041925573.047667,
freq_Hourly,699.8443850695617,163.18061828273272,262.9731929423775,399.12953094374535,278.3962559155202,634.0309231503647,298.8384295093894,373.13204744616365,272.40960748540226,276.9557666975895,262.3016578697085,268.03375546838015,1078.434276102244,730.2413649371636,730.9877723576799,,4297.452155543139,224.4713750425666,224.88621108480422,214.3876571690823,728.59532282814,728.59532282814,716.2210408933394,731.200418258296,166.43381835247115,792.8669112166251,4287.4900006155885,542.3313281261119,4294.432139811702,
freq_Monthly,897048.1499026604,39136.49196034244,33221.66050208411,48875.04917096262,46247.04264657428,852764.0791544578,28518.975031855563,59089.828027647774,56890.94000676987,10439.254179441405,5806.714801654089,340544.9885696345,1164691.4684176084,121535.9822558304,146460.12483197235,143656.01559985042,898683.3872072996,5076.782032663984,276271.6722506295,640522.9700676956,7440.910932060979,7440.910932060979,244512.38526878945,122472.64659964688,66847787156.490814,170146.3545589311,898679.8528852056,119650.09120721958,898684.739133065,75699.5872982326
freq_Other,11580.098595444646,3596.0711629298385,4242.575351071503,4133.364386471934,4390.749513577817,12159.993123091741,3978.8519326936944,4543.192709888841,4737.765184835154,4737.84277333115,4898.080957765547,3048.1496359460757,12162.080080868267,4350.499141780172,4054.3037843070947,3380.240287610652,36183.61169584231,4700.633743639706,2717.032400768816,2799.9913075775416,4514.84822761378,4514.84822761378,8496.63779045594,4220.897189239359,3882.9443999926893,3873.9873698871097,36009.664243261665,4153.66187703477,36001.343434315466,
freq_Quarterly,7922.4433252357485,918.5013671936484,932.3572559704373,1420.7265955708767,1940.9192584687494,8500.085248163206,1086.5702451657182,1036.5178490792262,1393.7099476984604,1516.0205254640816,1110.5426175494144,1185.5950107070596,8611.083029099538,1449.5862104169012,1496.138789182539,1514.6433307076147,8020.716852135131,1103.2477029198435,1028.1142242538372,1033.1553048600497,1654.046580413055,1654.046580413055,3162.130635462674,1664.1973780724352,1027.2401454141732,1581.3979601046663,8009.12757037571,911.6108817355997,8008.868344843043,1851.78950826193
freq_Weekly,1310.5976991445448,114.98397491132859,132.98241831420572,113.68425636645136,141.90106292821085,464.2841227175392,125.60079288365192,138.36311134398548,136.98200982661623,177.713094967834,153.03932465404793,137.6397231811245,626.8175862858196,137.65685501528483,135.50073558403736,148.10922512626567,2317.4379231488883,144.08515659099285,118.45096813583199,125.56852748801036,142.61056305649305,142.61056305649305,1134.102406318357,143.63888131725565,234.5618013556504,143.1688171380748,2314.882631442692,131.42255527720474,2318.710611791216,182.30095240300588
freq_Yearly,97045.81513306574,17146.25960455899,22033.603324405987,28125.04341665708,19765.430966071686,101636.41346949125,20173.26652549919,21373.942898865353,24790.77596589976,24021.591958172743,18853.96671536576,33499.098117722206,112789.60737590885,15962.977867043734,16915.504185816517,16009.601899731579,230412.54745345292,19432.09721322583,12092.404431675746,10880.913092879577,20655.07802327134,20655.07802327134,57764.806611305896,17301.18334577367,35589771573216.97,35816.7128784202,97049.77287710806,16527.02829791231,97050.6506348989,53151.68368456095
Trend_False,3160049.4394926606,844943.6949745575,901916.4249966613,1523414.9204556402,1111438.776146471,3451232.4027165184,841101.6600270782,969621.744259799,945051.143067606,1273537.381740592,710066.0495174847,928481.6301750955,1242394.2139623526,572564.9556657958,793935.9356676554,647225.7879826663,3443051.522718767,1311700.631785398,705920.9786696256,651270.5412330643,584391.0860104439,584391.0860104439,2210003.3345069494,582909.7479102351,11203445173051.404,719536.3795155234,3217339.1678199507,1023740.0531061173,3217341.026076309,1260.063266187944
